feature,importance
num__SCHED_DEP_HOUR,0.44652538275799186
num__AIRLINE_DELAY_RATE,0.13603007799823355
cat__AIRLINE_AA,0.06513609288809354
num__MONTH,0.06003088064827751
cat__SEASON_Verano,0.05111920266558246
num__DISTANCE,0.039748720651025714
cat__AIRLINE_WN,0.03678439308831851
num__ROUTE_FREQUENCY,0.02976370178611639
num__ORIGIN_DELAY_RATE,0.0204451043316389
num__DEST_DELAY_RATE,0.0202819169759354
cat__SEASON_Otono,0.020100298715518515
num__DAY_OF_WEEK,0.0138924729794014
cat__AIRLINE_DL,0.01128964135136604
cat__AIRLINE_UA,0.009565733163000543
cat__SEASON_Primavera,0.00801716215068566
cat__AIRLINE_NK,0.007244885020590206
cat__SEASON_Invierno,0.00610468285743643
cat__AIRLINE_AS,0.005287365160532657
cat__AIRLINE_B6,0.003372722811753146
num__IS_WEEKEND,0.0030759718756709223
cat__AIRLINE_HA,0.0025584191510390625
cat__AIRLINE_OO,0.0018354299250331197
cat__AIRLINE_F9,0.0017897410467585407
